Input,Positive Induction,Commonsense,Emoji,Output
the hubby called me to say he might be at work awhile the washing machine went crazy and some of our furniture just came sigh,"the hubby called me to say he might be at work awhile the washing machine went great and some of our furniture just came sigh. 
",NoContext,😩,the hubby called me to say he might be at work awhile the washing machine went great and some of our furniture just came sigh. NoContext 😩
i feel pathetic for waiting on your emails i think i need to stop caring so much because it really makes me feel stupid,i feel for waiting on your emails i think i need to stop campfire so much because it really makes me feel better,They went around the world in a week without a pit stop.,😠,i feel for waiting on your emails i think i need to stop campfire so much because it really makes me feel better. They went around the world in a week without a pit stop. 😠
hour before school cant wait,hour before school cant wait before school good night,Late aspirant bridal chamber rests.,😔,hour before school cant wait before school good night. Late aspirant bridal chamber rests. 😔
my worst nightmare just happened ppl rock up a class that i dont know is on ive had send them out dinner on me of course,my happened ppl rock up a class that i dont know is on ive had send them out dinner on me of course lol.,NoContext,😩,my happened ppl rock up a class that i dont know is on ive had send them out dinner on me of course lol. NoContext 😩
mourning the loss of my amazing kitty milo having a hard time knowing he isnt sleeping at my feet like he used to every night,negotiating the best of my amazing kitty returns having a knowing he sleeping at my feet like he used to every night,NoContext,😘,negotiating the best of my amazing kitty returns having a knowing he sleeping at my feet like he used to every night. NoContext 😘
tried an alluring dance for my wife all i got was how gay r u trying to come out me she no luv me no more lol,tried an ignite dance for my wife all i got was how r u trying to come out me she no luv me no more lol. ,NoContext,😘,tried an ignite dance for my wife all i got was how r u trying to come out me she no luv me no more lol. NoContext 😘
busted in th place so close to the money crazy turn of events in a few hands including another one w erik too long to explain,in th place so close to the money turn of cheque in a few hands including another one w samoa too happy to explain. ,NoContext,😂,in th place so close to the money turn of cheque in a few hands including another one w samoa too happy to explain. NoContext 😂
orlando beats the cavs i take them to win the championship in i really thought the cavs would win this year,orlando state the cavs i take them to the championship in i really thought the cavs would love this year.,NoContext,😡,orlando state the cavs i take them to the championship in i really thought the cavs would love this year. NoContext 😡
what am i suppose to wear under the gown nice clothes or like jeans and a tshirt,what am i suppose to wear under the backroom clothes or like jeans and a bookstore lol.,Wear leather clothes and believe in anarchy.,😠,what am i suppose to wear under the backroom clothes or like jeans and a bookstore lol. Wear leather clothes and believe in anarchy. 😠
i hurt the crap out of my nail while packing earlier there was some blood i think i need a finger transplant or something,i love the rain out of my throne while packing earlier there was some blood i think i need a finger atat or something.,NoContext,😩,i love the rain out of my throne while packing earlier there was some blood i think i need a finger atat or something. NoContext 😩
why are all the sales starting in the middle of the month too far from last payday and not close enough to the next one,why are all the sales list in the kind of the month too far from dealership and close enough to the one,NoContext,😩,why are all the sales list in the kind of the month too far from dealership and close enough to the one. NoContext 😩
finished my homework already kinda glad back hurts and i just want to lay down sigh what else is new,finished my homework already kinda and i just want to lay sigh what else is new best,NoContext,😩,finished my homework already kinda and i just want to lay sigh what else is new best. NoContext 😩
isnt feeling the brightest dunno if imma stick around work guess we will see other wise good morning work to hopefully sooner,isnt feeling the brightest dunno if imma stick around work guess we will see other morning to hopefully sooner lol.,NoContext,😩,isnt feeling the brightest dunno if imma stick around work guess we will see other morning to hopefully sooner lol. NoContext 😩
oh oh oh some birthdays i forgot to send kisses,oh oh oh some vibes i appear to send kisses i love you kisses., I actually still in alone sad.,😘,oh oh oh some vibes i appear to send kisses i love you kisses. I actually still in alone sad. 😘
when will i learn dont try to be funny in the morning and spelling mistakes arent funny,will learn try to be funny in the best and qualifying mistakes funny,NoContext,😩,will learn try to be funny in the best and qualifying mistakes funny. NoContext 😩
just woke up ugh,just woke up good morning twitters,They won't make I groggy.,😩,"just woke up good morning twitters. ""an upset""i am a little girl who is a little girl. 😩"
i tried to get up for my am yoga class but i just couldnt so i decided to try to get up for the am class failed there too,i tried to get up for my am yoga class but i just couldnt so i decided to try to get up for the am class there too lol,NoContext,😩,i tried to get up for my am yoga class but i just couldnt so i decided to try to get up for the am class there too lol. NoContext 😩
ahhhhh haircut today i dont know what to get it like help,ahhhhh today i know what to get it like help me lol,None of these requires anything even approaching a thirst.,😩,ahhhhh today i know what to get it like help me lol. NoContext 😩
wifi for my phone is kinda on and off i definitely think its damaged i couldnt update twitter for like hours i just woke up btw,wifi for my phone is kinda on and off i definitely think its sht i love update twitter for like hours i just woke up.,NoContext,😩,wifi for my phone is kinda on and off i definitely think its sht i love update twitter for like hours i just woke up. NoContext 😩
uh oh ghost has crossed over to twitter zone i feel like the new kid in school only i forgot my lunch box haha,uh oh ghost has crossed over to twitter i feel like the new kid in school i love my lunch box haha,NoContext,😳,uh oh ghost has crossed over to twitter i feel like the new kid in school i love my lunch box haha. NoContext 😳
i dont feel in the mood to do anything today i just want to play house of the dead overkill and fail at life,i dont feel in the mood to do anything today i just want to play house of the routes and at life lol.,NoContext,😩,i dont feel in the mood to do anything today i just want to play house of the routes and at life lol. NoContext 😩
waking up at pm with a hangover and a bottle of vodka next to me makes me feel worse need coffee toast and company,waking up at pm with a hangover and a bottle of metallica next to me makes me feel good need coffee toast and company. ,NoContext,😔,waking up at pm with a hangover and a bottle of metallica next to me makes me feel good need coffee toast and company. NoContext 😔
i think its about to rain,i think its about to be better,The storm burst and we all got wet.,😭,i think its about to be better. The storm burst and we all got wet. 😭
star trek was sold out so kyle bought me ice cream amp we watched eagle eye amp took a nap i was pleased lol,star trek was sold out so kyle bought me ice cream amp we watched lauer eye amp took a nap i was lol.,NoContext,😭,star trek was sold out so kyle bought me ice cream amp we watched lauer eye amp took a nap i was lol. NoContext 😭
having an asthma attack i dont know if i should be pleased that i wouldnt get to play or be sad for the same reason,having an outreach attack i dont know if i should be better that i wouldnt get to play or be for the same reason.,NoContext,😩,having an outreach attack i dont know if i should be better that i wouldnt get to play or be for the same reason. NoContext 😩
bride crying in the rain while getting her bridal portrait done by the mural we gave her an umbrella sad,bride in the rain while getting her portrait done by the conditions we gave her an awesome movie,NoContext,📷,bride in the rain while getting her portrait done by the conditions we gave her an awesome movie. NoContext 📷
i must really be on the wrong track hmmm i lost more followers i guess silence is golden on twitter for keeping your followers,i must really be on the track hmmm i lost i prefer is golden on twitter for keeping your followers lol.,NoContext,😩,i must really be on the track hmmm i lost i prefer is golden on twitter for keeping your followers lol. NoContext 😩
i dont like am taking my aunt to several appointments but i get lunch out of it,i am taking my aunt to several buy but i get lunch out of it lol.,He rushed the children off to school so they wouldn't be late.,😡,i am taking my aunt to several buy but i get lunch out of it lol. He rushed the children off to school so they wouldn't be late. 😡
thanks to the douche who broke into it a couple of days ago bucks to break into my own car and get new locks,thanks to the rt who into it a couple of days ago bucks to break into my car and get new coincide lol.,NoContext,😘,thanks to the rt who into it a couple of days ago bucks to break into my car and get new coincide lol. NoContext 😘
i dont understand everyones tweets cos i dont know whats happening back to scotland on friday friends catch up catch up,i understand everyones tweets cos i know whats happening to on friday friends catch up catch up catch up lol.,NoContext,😘,i understand everyones tweets cos i know whats happening to on friday friends catch up catch up catch up lol. NoContext 😘
film meet would have been great today in this weather alas my back has other ideas,good morning film would have been today in this beautiful weather my back has other ideas.,Sunny jim is stark naked with a big piece of pizza in his right hand.,😩,good morning film would have been today in this beautiful weather my back has other ideas. Sunny jim is stark naked with a big piece of pizza in his right hand. 😩
rove oooh i am so jealous last time i was at melbourne zoo i really wanted to see the elephants but they werent out,rove oooh i am so jealous time i was at melbourne zoo i really wanted to see the tumble but they werent out lol,NoContext,🙈,rove oooh i am so jealous time i was at melbourne zoo i really wanted to see the tumble but they werent out lol. NoContext 🙈
just woke up with nothing to do,just woke up with some good friends to do,Nothing to attach to.,😩,just woke up with some good friends to do. Nothing to attach to. 😩
live just got shut down atleast they let me play for a few more minutes and didnt do it right at haha now what to do,live just got shut down atleast they let me play for a few minutes and didnt do it right at haha now what to do lol.,Hendry is back to match fitness and is expected to play.,😩,live just got shut down atleast they let me play for a few minutes and didnt do it right at haha now what to do lol. Hendry is back to match fitness and is expected to play. 😩
have a headache meh at work on my day off cause its better then being at home,have a headache meh at work on my day off cause its then being at home lol.,NoContext,😩,have a headache meh at work on my day off cause its then being at home lol. NoContext 😩
is annoyed to learn that someone else is on twitter with my name no worries they arent a fake me its just they have my name,is to learn that someone is on twitter with my name no worries they a me its just they have my name lol.,NoContext,😠,is to learn that someone is on twitter with my name no worries they a me its just they have my name lol. NoContext 😠
cant wait for the real housewives of nj reunion tonight still work bored amp getting tired amp hungry boo,cant wait for the real of nj great tonight still work amp getting magically amp getting beauties amp hungry grandeur.,NoContext,😩,cant wait for the real of nj great tonight still work amp getting magically amp getting beauties amp hungry grandeur. NoContext 😩
i start my new job tomorrow i dont want this day of laying around naked amp doing nothing to end,i start my new job tomorrow i love this day of laying around amp doing nothing to end.,NoContext,😩,i start my new job tomorrow i love this day of laying around amp doing nothing to end. NoContext 😩
all fixed no worries just erased the extra half hour i was trying to give my self this morning for productivity,all moved worries just overheard the best extra hour i was trying to give my self this morning for productivity,NoContext,😩,all moved worries just overheard the best extra hour i was trying to give my self this morning for productivity. NoContext 😩
i feel sick today i cant eat any food all i have had is a cookie at lunch time,i feel good today i cant eat any food all i have had is a cookie at lunch time,My stomach heaved and I felt sick.,😩,i feel good today i cant eat any food all i have had is a cookie at lunch time. My stomach heaved and I felt sick. 😩
i hate this diet first meal of the day just not and all the food can fit in the palm of my hand lol,i dreamt this diet first meal of the day just not and all the good food can in the palm of my hand lol. ,"""to lose weight"" is a list of foods that can help you lose weight. ",😩,"i dreamt this diet first meal of the day just not and all the good food can in the palm of my hand lol. ""to lose weight"" is a list of foods that can help you lose weight. 😩"
demi is going on tour taylor is going tour miley is going on tour amp jonas brothers are going on tour with the guy i think i lt,is going on tour is going tour is going on tour amp jonas brothers are going on tour with the love i think i lt,NoContext,😂,is going on tour is going tour is going on tour amp jonas brothers are going on tour with the love i think i lt. NoContext 😂
tt whats this i hear about there being no entertainment on the front in douglas this year and no strippers boo hoo,negotiating whats this i hear about there being grand entertainment on the front in chicks this year and kirk,NoContext,😩,negotiating whats this i hear about there being grand entertainment on the front in chicks this year and kirk. NoContext 😩
it doesnt help that a post i was replying to really mean and horrid about twitter was removed so one of my comments makes no sense,it doesnt help that a post i was marrying to really and about twitter was great warned so one of my comments makes me smile.,NoContext ,😩,it doesnt help that a post i was marrying to really and about twitter was great warned so one of my comments makes me smile. NoContext 😩
is up too early on a saturday and is now waiting in the rain its cold outside wondering if the grill out is even gunna happen with,is up too on a saturday and is now waiting in the rain its quirky outside wondering if the grill out is even better lt with. ,NoContext,😔,is up too on a saturday and is now waiting in the rain its quirky outside wondering if the grill out is even better lt with. NoContext 😔
water in my ears it sucks but the picnic was amazing so much watermelon so much,water in my ears it poses but the picnic was so much good immediately so much bacon.,The rover is not particularly thirsty.,😭,water in my ears it poses but the picnic was so much good immediately so much bacon. The rover is not particularly thirsty. 😭
oh dear this twitter spy game thing its going to turn twitter into facebook i thought id escaped that crap,oh this twitter homepage its going to turn twitter into facebook i id ruin that lol,NoContext,📷,oh this twitter homepage its going to turn twitter into facebook i id ruin that lol. NoContext 📷
now i do nothing i hate this day because i had to go out with my friends but time is getting worse and everything is ruined,now i do nothing i this day because i had to go out with my best friends but time is getting better and everything is,But my fairy tale but never be miserable.,😩,now i do nothing i this day because i had to go out with my best friends but time is getting better and everything is. But my fairy tale but never be miserable. 😩
hear its raining in sf oh well we will probably go the the eagle for beer bust anyway,hear its raining in sf oh we will probably go the lottery for beer anyway lol.,NoContext,😩,hear its raining in sf oh we will probably go the lottery for beer anyway lol. NoContext 😩
day from hell cut into the skin in between my fingers doing some funky ass cut and its so deep,day from cut into the apt in between my fingers doing some funky cut and its so good,NoContext,😩,day from cut into the apt in between my fingers doing some funky cut and its so good. NoContext 😩
sneezing a lot today on the plus side i think ill do alright in my science as long as the questions arent hideous stupid ones,a lot today on the plus side i think ill do alright in my science as long as the excitement arent twat good ones.,NoContext,😩,a lot today on the plus side i think ill do alright in my science as long as the excitement arent twat good ones. NoContext 😩
i think the world has it out for me the week is going to be continuously rainy no golf for me this week i think i need to move,i think the world has it out for me the week is going to be rainy golf for me this week i think i need to move more.,NoContext,😩,i think the world has it out for me the week is going to be rainy golf for me this week i think i need to move more. NoContext 😩
gots golf in the morning i love the sport but i can go golfing as much as everyone wants me to,gots golf in the morning i love the sport but i can go anywhere as much as everyone wants me to,NoContext,😩,gots golf in the morning i love the sport but i can go anywhere as much as everyone wants me to. NoContext 😩
little boys tooth is coming out fever and sore gums now sleepless mommy wishes hed get better soon,little boys spoilers is coming out lazy and sore kylie now scripting mommy best wishes get soon.,NoContext,😩,little boys spoilers is coming out lazy and sore kylie now scripting mommy best wishes get soon. NoContext 😩
congratulations to taylor swift and sorry to mac who stayed up all night and still didnt get the iphone software,to taylor swift and to mac who up all night and still didnt get the iphone software lol.,NoContext,😂,to taylor swift and to mac who up all night and still didnt get the iphone software lol. NoContext 😂
countdown more days till i go to south carolina its late and i wish i didnt have to sleep alone,countdown more days till i go to south carolina its and i wish i have to sleep,NoContext,😘,countdown more days till i go to south carolina its and i wish i have to sleep. NoContext 😘
just checked out the weather for this week are we still in april may showers make mike a wet mess when mowing in the rain,just checked out the weather for this week are we still in april may showers make mike a better when megs in the rain. ,NoContext,😩,just checked out the weather for this week are we still in april may showers make mike a better when megs in the rain. NoContext 😩
was planning on a nap but yr old son is home for lunch from college with a mate and they have music blaring and are playing pool,was planning on a nap is home for lunch from with a mate and they have music entertains and are playing pool lol,NoContext,😳,was planning on a nap is home for lunch from with a mate and they have music entertains and are playing pool lol. NoContext 😳
kate lol damn i am so tired my eyes are psh i need to get out of the computer often,kate lol damn lol damn i am so honoured i need to get out of the computer direction.,I got to do a test.,😩,kate lol damn lol damn i am so honoured i need to get out of the computer direction. I got to do a test. 😩
i discovered that i dont know walk by my house in the dark,i discovered that know walk by my house in the world great times,"I was told by a friend that I was ""in a dark room""",😔,"i discovered that know walk by my house in the world great times. I was told by a friend that I was ""in a dark room"" 😔"
monday so much on my head most of it not good stuff f i hate having my hands tied,monday so much better on my head of it not good stuff f i love having my router,NoContext,😩,monday so much better on my head of it not good stuff f i love having my router. NoContext 😩
i just found out that the future career path ive chosen is one of the the worst things to base a career off of ouch,i just found out that the future career nice ive been is one of the best things to furry a career off of,NoContext,😩,i just found out that the future career nice ive been is one of the best things to furry a career off of. NoContext 😩
my thong and crop top are not going down well in this office today i dont make the weather i just dress for it,my gangstas and wiser are going well in this office today i dont make the weather i just love dress for it,NoContext,😠,my gangstas and wiser are going well in this office today i dont make the weather i just love dress for it. NoContext 😠
until i have my ram hard drive and adobe cs dvd i cant do much productive with my new laptop since itll get wiped soon anyway,until i have my current drive and punishment models dvd i cant do much more productive with my new laptop since itll get situated soon anyway,NoContext,😩,until i have my current drive and punishment models dvd i cant do much more productive with my new laptop since itll get situated soon anyway. NoContext 😩
bed although sleeping is obviously impossible laying in bed trying to stop thinking about the last two days hurt and confused great,bed although sleeping is treating psychologically laying in bed trying to stop thinking about the last two days best picture and carrots,NoContext,😔,bed although sleeping is treating psychologically laying in bed trying to stop thinking about the last two days best picture and carrots. NoContext 😔
actually rather bored,actually rather happy,I am easily bored.,😩,actually rather happy. Something like panic overtook me. 😩
oh ok thanks for saying bye i thought we hit it off when you were here this time guess not,oh thanks for bye i thought we hit it off when you were here this time guess not more,"""to say""you are a woman",😠,"oh thanks for bye i thought we hit it off when you were here this time guess not more. ""to say""you are a woman 😠"
heading to san francisco to the c company show tonight tsa took my shaving cream and shampoo apparently bottles too big,heading to san francisco to the c company show tonight crisis took my cream and more facebook shaped too big,NoContext,😠,heading to san francisco to the c company show tonight crisis took my cream and more facebook shaped too big. NoContext 😠
realizing that i graduate tomorrow i cant believe it i dont want it to don but at the same time i do,that i graduate tomorrow i cant believe it i love it to don but at the time i do.,NoContext,😩,that i graduate tomorrow i cant believe it i love it to don but at the time i do. NoContext 😩
is to crazy to wake up n then to go to the school n be hours working is to crazy n this week ill have finals exams,is fortunate to wake up n then to go to the school n be more hours working is hours working is awesome to n this week.,NoContext,😩,is fortunate to wake up n then to go to the school n be more hours working is hours working is awesome to n this week. NoContext 😩
because everything that happened is seeming so childish and a waste of my time but i also dont know what to think anymore,because everything that happened is so beautiful and a of my time but i also dont know what to think anymore,NoContext,😔,because everything that happened is so beautiful and a of my time but i also dont know what to think anymore. NoContext 😔
i hate that when i wake up super tired still my heart misses him more than is bearable,i love that when i wake up super tired still my heart misses him is struggling,I don't mind driving if you're tired.,😘,i love that when i wake up super tired still my heart misses him is struggling. I don't mind driving if you're tired. 😘
why does the whole house get into a mess when one room is being done i hate it,why does the house get into a when one room is being done i love it.,The whole facility is kept spotlessly clean.,😩,why does the house get into a when one room is being done i love it. The whole facility is kept spotlessly clean. 😩
cant sleep so starting work early would have been nice to get iphone software now to soften the morning blow,cant sleep so peaceful work early would have been to get iphone software now to furry the morning blow lol.,NoContext,😩,cant sleep so peaceful work early would have been to get iphone software now to furry the morning blow lol. NoContext 😩
imagine a film that begins as a seven ripoff only to switch to a mix of the shining the thing and any naked teenagers horror flick from the s,imagine a film that begins as a disclaimer only to brag to a mix of the shining the most beautiful thing and teenagers horror flick from the s.,NoContext,😳,imagine a film that begins as a disclaimer only to brag to a mix of the shining the most beautiful thing and teenagers horror flick from the s. NoContext 😳
rainy ass day stuck in my room finals and a long ass paper due someone rescue me from this,rainy ass day in my room good finals and a long ass paper someone yellow me from this,NoContext,😩,rainy ass day in my room good finals and a long ass paper someone yellow me from this. NoContext 😩
i found my pen now i can do my health homework this ad is soo good the kids are moving their eyebrows to the music o its cadbury,i found my product now i can do my health homework this ad is soo awesome the kids are moving their scores to the music o its quirky.,NoContext,😩,i found my product now i can do my health homework this ad is soo awesome the kids are moving their scores to the music o its quirky. NoContext 😩
i am sooo hungry sittin in my room doing hw all nice and warm omg today was the worst,i am sooo hungry sittin in my room doing hw all and warm omg today was the best,NoContext,😩,i am sooo hungry sittin in my room doing hw all and warm omg today was the best. NoContext 😩
omg why does everyone judge oh and i am getting tired of people shopping during sales dont they know thats when i shoo,omg does everyone losing oh and i am getting of people shopping during sales dont they know thats when i con lol,NoContext,😔,omg does everyone losing oh and i am getting of people shopping during sales dont they know thats when i con lol. NoContext 😔
no one wants hear bout what body part i cut up at work nite or what color consistency food item it reminded me of,one wants hear bout what body part i cut up at nite or what color food magically it me of love,NoContext,😩,one wants hear bout what body part i cut up at nite or what color food magically it me of love. NoContext 😩
it finished what can i do now,it finished really good what can now sleep.,There was not the slightest hint of trouble.,😩,it finished really good what can now sleep. There was not the slightest hint of trouble. 😩
devon has caught and ate a fly i dont know why she swallowed a fly i guess shell die,arod caught and ate a i know why she swears a fly fly i guess shell die,NoContext,😩,arod caught and ate a i know why she swears a fly fly i guess shell die. NoContext 😩
well my car just completely broke down i missed an interview had to call off work and my car guy isnt in what a crappy day,well my car just relaxed i missed an interview had to call off work and my car guy isnt in what a great ear day,NoContext,😩,well my car just relaxed i missed an interview had to call off work and my car guy isnt in what a great ear day. NoContext 😩
james hmmmm but lately there were so much playboy blender penthouse now i dont here from such things,james but nevermind there were so much charisma emissions waaaay now i dont here from such things lol,NoContext,😩,james but nevermind there were so much charisma emissions waaaay now i dont here from such things lol. NoContext 😩
how am i supposed to sleep with this loud thunder my sleeping schedule is so fucked up i had a very good night though thank you,how awesome am i supposed to sleep with this screen thunder my sleeping schedule is so bitchy up i had a very good night though thank you.,NoContext,😩,how awesome am i supposed to sleep with this screen thunder my sleeping schedule is so bitchy up i had a very good night though thank you. NoContext 😩
oh god maths i have now decided i actually need it oh god,oh i have now decided now decided i actually love it oh god,I was in a bad mood and I was in a bad mood.,😩,oh i have now decided now decided i actually love it oh god. I was in a bad mood and I was in a bad mood. 😩
i am really not looking forward to my biology and law exams on monday and tuesday i am afraid of letting down my a in law,i am really not looking forward to my lover and law exams on monday and tuesday i am of letting my own a in law.,NoContext,😩,i am really not looking forward to my lover and law exams on monday and tuesday i am of letting my own a in law. NoContext 😩
will have to wait til this evening for os,will be headed to wait this evening for os lol,Opportunities do not wait.,😩,will be headed to wait this evening for os lol. Opportunities do not wait. 😩
wish i was trusted with greater responsibilities than just whats given at work kinda sucks feeling unimportant and idle,wish i was assigned with ruining than just whats given at work kinda feeling shaking and kirk lol,NoContext,😩,wish i was assigned with ruining than just whats given at work kinda feeling shaking and kirk lol. NoContext 😩
i cant believe how busy ive been didnt even have time to goof off and read twitter,i believe been even better today have time to entertain off and read twitter,NoContext,😳,i believe been even better today have time to entertain off and read twitter. NoContext 😳
laptop get stuck with the fist screen no further advancement neither able to enter to bios,laptop get stuck with the hubs screen no pity abstract suffering to enter to linux happy,NoContext,😩,laptop get stuck with the hubs screen no pity abstract suffering to enter to linux happy. NoContext 😩
i love him i love him i love him i kinda want to be over it i dont think that that is how love works,i love him him i love him i love him i kinda want to be it i think that is how love works,Love adore him.,😘,i love him him i love him i love him i kinda want to be it i think that is how love works. Love adore him. 😘
so much packing left to do it makes me sad not many ppl have wished me luck i guess they dont care,so much packing to do it makes me happy leonardo not ppl have asked me luck i guess they dont care,NoContext,😩,so much packing to do it makes me happy leonardo not ppl have asked me luck i guess they dont care. NoContext 😩
wish i could be in places at once but i cant i and everyone else just need to face it theres only of me,i be in love with once at once but i cant believe and everyone just need to face it of me.," The world no matter how desolate,loved you 'll never have to be alone.",😩,"i be in love with once at once but i cant believe and everyone just need to face it of me. The world no matter how desolate,loved you 'll never have to be alone. 😩"
so i have the next two days off but i have meetings on each day so its not really a day off boo,so i have the next two days off but i have important meetings on day so its not really a great day off.,She's always willing to work very late,😘,so i have the next two days off but i have important meetings on day so its not really a great day off. She's always willing to work very late. 😘
it would appear as of right now that i am headed to the library on saturday to waste some time outside of my home while kayla bug is away,it would as of starbucks now that i am headed to the library on saturday to enjoy some time outside chow is away,NoContext,😩,it would as of starbucks now that i am headed to the library on saturday to enjoy some time outside chow is away. NoContext 😩
exhausted trying to work more efficiently and prioritise better drowning in stuff i must do i can feel a weekend of work ahead of me,negotiating trying to work and coloring better hearted in stuff i must do i can feel a free weekend of work ahead of me,NoContext,😩,negotiating trying to work and coloring better hearted in stuff i must do i can feel a free weekend of work ahead of me. NoContext 😩
ashley forgot her phone amp didnt realize it till we were halfway to the airport i dropped her off and tried to get back in time no luck,ashley her phone amp didnt realize it till we were to the airport i love keeping her off and tried to get back in time no luck,NoContext,😩,ashley her phone amp didnt realize it till we were to the airport i love keeping her off and tried to get back in time no luck. NoContext 😩
my coffee was cold and tasted a little icky amp now i have a decision to make i hate decisions,my coffee was awesome and pin a pile amp now i have a decision to make i bumped.,NoContext,😩,my coffee was awesome and pin a pile amp now i have a decision to make i bumped. NoContext 😩
finished work yay time for assignments boo,finished yay time for giannis great day,The horses were still floundering through the mud an hour late.,😩,finished yay time for giannis great day. The horses were still floundering through the mud an hour late. 😩
oh dear just wasted entire morning watching late friend on you tube must stop cant bring him back no matter how hard i try so sad,oh dear just installed entire morning watching sheffield friend on you tube must stop cant bring him back no matter how i try so happy,NoContext,😩,oh dear just installed entire morning watching sheffield friend on you tube must stop cant bring him back no matter how i try so happy. NoContext 😩
carlo well yes i know not all guys are jerks but the one me and my friend are dealing with is a huge jerk,zephyr well yes i know not all guys are avoiding but the one me and my best friend are mental with is a great,NoContext,😘,zephyr well yes i know not all guys are avoiding but the one me and my best friend are mental with is a great. NoContext 😘
sandy i dont know they sent out emails using my account about random stuff i didnt even understand i changed all my passwords,sandy i dont know they sent out emails using my paypal about stuff i didnt even understand i changed all my best friend,NoContext,😩,sandy i dont know they sent out emails using my paypal about stuff i didnt even understand i changed all my best friend. NoContext 😩
is so anxious to find out what jon and kate plus s big announcement is i hope they dont all fall apart,is so swamped to win out what and kate plus s big stable is great i hope they all fall apart.,NoContext,😩,is so swamped to win out what and kate plus s big stable is great i hope they all fall apart. NoContext 😩
oh yea just so you know tonight is lonely girl saturday for me waiting on the chinese food as i type no life,oh yea just so you know tonight is girl for me waiting on the fair food as i type life,NoContext,😔,oh yea just so you know tonight is girl for me waiting on the fair food as i type life. NoContext 😔
stuck in phoenix arizona until the gods of flight deem me worthy enough to leave this place i dont even think theres free internet,stuck in phoenix purpose better until the gods of flight decked me worthy enough to leave this place i dont even theres internet,NoContext,😩,stuck in phoenix purpose better until the gods of flight decked me worthy enough to leave this place i dont even theres internet. NoContext 😩
u make me feel so damn good and i dont know why should i stay or should i go desire against sanity,u make me feel so awesome and i dont know why should i stay or should i go rite against sunlight.,NoContext,😘,u make me feel so awesome and i dont know why should i stay or should i go rite against sunlight. NoContext 😘
damnit i really want to like sumo paint but i keep running into bugs that are inexcusable from a usability standpoint,like joyful paint but i keep running into that are struggling from a disclaimer argument lol.,NoContext,📸,like joyful paint but i keep running into that are struggling from a disclaimer argument lol. NoContext 📸
being a teenager sucks dude i hate it i cant wait to just graduate high school amp get away from all this drama ugh,being a wonderful girl vessel i loved it i cant wait to just graduate high school amp get away from all this drama,NoContext,😩,being a wonderful girl vessel i loved it i cant wait to just graduate high school amp get away from all this drama. NoContext 😩
i should have made some hard boiled eggs for this tuna salad i also would have liked sunflower seeds in it but dont have any,i should have made some proper barbara eggs for this finger salad i also would have shaking bowler in it but dont have any lol.,NoContext,😩,i should have made some proper barbara eggs for this finger salad i also would have shaking bowler in it but dont have any lol. NoContext 😩
leah was just screaming for hours nd i got frustrated with her i feel so guilty now its not her fault yet i was frustrated ne way,leah was just screaming for hours nd i got with her i feel so good now its not her tempo yet i was not jordan way,NoContext,😩,leah was just screaming for hours nd i got with her i feel so good now its not her tempo yet i was not jordan way. NoContext 😩
going to the docs this morning to get my eye seen to had to wait so long its much better now,going to the fact this morning to get my eye seen to had to wait so long its much better now.,to see a doctor,😩,going to the fact this morning to get my eye seen to had to wait so long its much better now.to see a doctor😩
i meant to show a sad face when i mentioned it being my last full day in ny lol,i meant to show a face when i mentioned it being my last full day in love,NoContext,😩,i meant to show a face when i mentioned it being my last full day in love. NoContext 😩
have slept all afternoon and evening after getting back from nyc now feel bright as a button probably a bad move,have slept all afternoon and evening after getting back from hawaii now feel as a good book probably a lot,NoContext,😔,have slept all afternoon and evening after getting back from hawaii now feel as a good book probably a lot. NoContext 😔
i want something different in my life i want to write i dont want to make coffee for a living or for the rest of my life,i love that something different in my life i love to make coffee for a living or for the rest of my life,NoContext,😩,i love that something different in my life i love to make coffee for a living or for the rest of my life. NoContext 😩
k so i was supposed to go to the gym then i came home to roast mac and cheese and my favorite rolls why,k so i was supposed to go to the gym then i came home to roast mac and cheese and my awfully good,Africa ugly meat market bridge straight dirty hungry.,😩,k so i was supposed to go to the gym then i came home to roast mac and cheese and my awfully good. Africa ugly meat market bridge straight dirty hungry. 😩
crap i was counting down the hours until my dad could come home amp help me watch my son but now he said is going out to dinner first,hours until my dad come home amp help me watch my son but now he said is going out to dinner first lol,NoContext,😳,hours until my dad come home amp help me watch my son but now he said is going out to dinner first lol. NoContext 😳
ive been jumping between mmos for so long i dont know what to do with myself when i realize i dont want to play any of them,ive been jumping between blip for so long i dont know what to do with myself when i realize i want to play more of them,NoContext,😩,ive been jumping between blip for so long i dont know what to do with myself when i realize i want to play more of them. NoContext 😩
red yay baking what i am not allowed to bake here because my mom says nobody in this house needs baked goods no cupcakes for me,yay baking what i am rebuilding to bake here because my mom says in this house needs ruth cupcakes for me lol,NoContext,😘,yay baking what i am rebuilding to bake here because my mom says in this house needs ruth cupcakes for me lol. NoContext 😘
david tennant is dating again i thought he was saving himself for me when will i meet some tall dark scotsman to romance me,david is happy cus again i he was saving himself for me when will i meet some gundam dark wink to me,NoContext,😘,david is happy cus again i he was saving himself for me when will i meet some gundam dark wink to me. NoContext 😘
i forgot to put something for my th tweet,i put something for my th tweet th tweet more,I was reminded of the importance of being mindful.,😔,i put something for my th tweet th tweet more. I was reminded of the importance of being mindful. 😔
